BoardGameRank,2018-10-06,2018-10-13,2018-10-20,2018-10-27,2018-11-03,2018-11-09,2018-11-17,2018-11-24,2018-12-01,2018-12-08,2018-12-15,2018-12-22,2018-12-29,2019-01-05,2019-01-12,2019-01-19,2019-01-26,2019-02-02,2019-02-09,2019-02-16,2019-02-23,2019-03-02,2019-03-09,2019-03-16,2019-03-23,2019-03-30,2019-04-06,2019-04-13,2019-04-20,2019-04-27,2019-05-04,2019-05-11,2019-05-18,2019-05-25,2019-06-01,2019-06-08,2019-06-15,2019-06-22,2019-06-29,2019-07-06,2019-07-13,2019-07-20,2019-07-27,2019-08-03,2019-08-10,2019-08-17,2019-08-24,2019-08-31,2019-09-07,2019-09-14,2019-09-21,2019-09-28,2019-10-05,2019-10-12,2019-10-19,2019-10-26,2019-11-02,2019-11-09,2019-11-16,2019-11-23,2019-11-30,2019-12-07,2019-12-14,2019-12-21,2019-12-28,2020-01-04,2020-01-11,2020-01-18,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22
1,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430,174430
2,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936,161936
3,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517
4,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791,167791
5,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078
6,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,224517,12333,12333,12333,12333,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,291457,291457,291457,291457,291457,291457,291457,291457,291457,291457,291457,291457,291457
7,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,233078,220308,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,220308,220308,220308,187645,220308,220308,220308,220308,187645,187645,187645,187645,187645,187645,187645,187645,220308,220308,220308,220308,220308,187645,220308,220308,220308,220308,220308,220308,220308,220308,220308,291457,291457,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028,182028
8,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,233078,233078,233078,233078,220308,233078,220308,220308,220308,220308,220308,220308,220308,220308,220308,224517,224517,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,12333,12333,12333,12333,12333,12333,12333,12333,12333,220308,220308,220308,220308,220308,187645,187645,187645,220308,187645,187645,187645,187645,220308,220308,220308,220308,220308,220308,220308,220308,187645,187645,187645,187645,187645,220308,187645,187645,187645,187645,187645,187645,187645,187645,291457,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308
9,120677,120677,120677,120677,120677,120677,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,224517,224517,224517,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,220308,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,291457,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645,187645
10,193738,193738,193738,193738,193738,193738,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,233078,233078,233078,233078,233078,233078,233078,233078,233078,233078,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,224517,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,291457,291457,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333,12333
11,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,233078,233078,233078,233078,233078,233078,233078,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,115746,115746,115746,115746,115746,115746,224517,224517,224517,224517,224517,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,291457,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738,193738
12,173346,173346,173346,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,84876,84876,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,120677,120677,120677,224517,224517,224517,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,169786,169786,169786,169786,169786,169786,169786,169786,169786,162886,115746,115746,115746,115746,115746,115746,115746,115746,115746,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886
13,180263,180263,115746,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,233078,115746,115746,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,224517,224517,224517,224517,224517,224517,224517,224517,224517,224517,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,169786,162886,162886,162886,162886,162886,162886,162886,162886,162886,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746,115746
14,115746,115746,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,233078,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,224517,162886,224517,224517,224517,224517,84876,84876,84876,84876,84876,84876,84876,84876,162886,162886,162886,84876,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,291457,291457,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786,169786
15,3076,3076,3076,3076,3076,3076,233078,233078,233078,233078,233078,233078,180263,180263,180263,180263,180263,180263,180263,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,173346,224517,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,162886,84876,84876,84876,162886,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,291457,291457,291457,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876,84876
16,102794,102794,102794,102794,102794,233078,3076,3076,3076,3076,3076,3076,3076,162886,162886,162886,162886,162886,162886,180263,180263,180263,180263,180263,224517,224517,224517,224517,224517,162886,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677,120677
17,205637,205637,233078,233078,233078,102794,102794,102794,102794,102794,102794,102794,102794,3076,3076,3076,3076,3076,3076,3076,3076,224517,224517,224517,180263,180263,180263,180263,180263,180263,180263,180263,124361,124361,180263,180263,180263,180263,180263,180263,180263,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,180263,180263,180263,180263,180263,180263,180263,180263,180263,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,291457,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346,173346
18,183394,233078,183394,183394,183394,183394,183394,183394,205637,205637,205637,205637,162886,102794,102794,183394,183394,205637,205637,205637,205637,3076,3076,3076,183394,183394,183394,183394,183394,183394,183394,124361,180263,180263,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,180263,180263,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,291457,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361,124361
19,31260,183394,205637,205637,205637,205637,205637,205637,183394,183394,183394,183394,183394,183394,183394,205637,205637,183394,183394,183394,224517,205637,183394,183394,3076,3076,124361,124361,124361,124361,124361,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,180263,180263,180263,180263,180263,180263,180263,180263,180263,180263,205637,266192,266192,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,291457,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720
20,233078,31260,31260,31260,31260,31260,31260,31260,124361,124361,124361,162886,205637,205637,205637,102794,102794,124361,124361,124361,183394,183394,205637,205637,124361,124361,3076,3076,3076,3076,205637,205637,205637,3076,3076,3076,3076,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,28720,28720,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,266192,205637,205637,205637,180263,205637,205637,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,205637,205637,205637,205637,205637,205637,205637,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192,266192
21,96848,96848,96848,124361,124361,124361,124361,124361,31260,162886,162886,124361,124361,124361,124361,124361,124361,102794,102794,224517,124361,124361,124361,124361,205637,205637,205637,205637,205637,205637,3076,3076,3076,205637,205637,205637,205637,3076,3076,3076,3076,3076,3076,3076,28720,28720,28720,28720,28720,28720,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,183394,183394,183394,183394,183394,183394,183394,183394,266192,266192,266192,266192,205637,266192,266192,266192,266192,180263,180263,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,177736,291457,266192,266192,266192,266192,266192,266192,266192,205637,205637,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736
22,124361,124361,124361,96848,96848,96848,96848,96848,162886,31260,31260,31260,31260,31260,31260,31260,31260,224517,224517,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,266192,266192,266192,266192,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,180263,180263,180263,180263,180263,180263,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,183394,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637,205637
23,205059,205059,205059,205059,205059,205059,205059,205059,96848,96848,96848,96848,96848,96848,96848,96848,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,28720,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,177736,177736,177736,177736,177736,177736,177736,177736,266192,266192,3076,3076,3076,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,180263,180263,180263,180263,180263,164928,164928,164928,164928,164928,164928,164928,164928,164928,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394,183394
24,164928,28720,28720,28720,28720,28720,162886,162886,28720,28720,28720,28720,28720,28720,28720,28720,96848,31260,31260,31260,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,102794,102794,102794,102794,102794,102794,102794,102794,177736,177736,177736,177736,177736,177736,177736,177736,96848,96848,96848,96848,96848,266192,266192,266192,177736,177736,177736,177736,177736,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,96848,96848,96848,96848,96848,96848,96848,96848,96848,164928,164928,96848,96848,96848,96848,96848,96848,96848,96848,96848,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,167355,167355,167355,167355,167355,167355,167355,167355,167355,167355,167355,167355,167355,167355,167355,167355
25,170216,164928,164928,164928,164928,164928,28720,28720,205059,205059,205059,205059,205059,205059,205059,205059,205059,96848,96848,96848,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,164928,164928,164928,164928,164928,164928,164928,164928,164928,177736,177736,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,164928,164928,164928,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,3076,3076,164928,164928,164928,164928,164928,164928,164928,96848,96848,180263,180263,180263,3076,3076,3076,3076,3076,3076,96848,96848,96848,96848,96848,96848,96848,96848,96848,167355,167355,167355,167355,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928
26,28720,170216,170216,170216,162886,162886,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,224517,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,164928,205059,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,31260,31260,31260,31260,177736,177736,177736,177736,177736,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,102794,102794,266192,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,180263,180263,180263,180263,180263,180263,3076,3076,3076,3076,3076,167355,167355,167355,167355,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,96848,237182,96848,96848
27,209010,209010,209010,162886,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,224517,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,164928,205059,164928,205059,205059,205059,205059,205059,205059,205059,205059,205059,177736,177736,177736,177736,177736,177736,177736,177736,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,175914,175914,175914,175914,175914,175914,266192,266192,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,102794,180263,167355,167355,167355,167355,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,237182,237182,237182,237182,237182,237182,237182,237182,237182,237182,237182,96848,237182,237182
28,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,170216,170216,170216,170216,170216,170216,170216,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,177736,205059,205059,205059,205059,205059,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,31260,31260,31260,31260,31260,31260,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,102794,180263,180263,102794,102794,102794,175914,175914,237182,237182,237182,237182,237182,237182,237182,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076,3076
29,164153,164153,162886,209010,209010,209010,209010,209010,209010,209010,209010,209010,209010,177736,224517,175914,175914,175914,175914,175914,175914,177736,170216,170216,170216,170216,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,175914,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,266192,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,167355,291457,167355,102794,102794,180263,175914,175914,102794,102794,102794,102794,175914,175914,175914,102794,175914,102794,175914,175914,175914,175914,175914,102794,175914,175914,175914,175914,199792,199792,199792
30,177736,177736,164153,164153,177736,177736,177736,164153,177736,177736,177736,177736,177736,209010,177736,177736,177736,177736,177736,177736,177736,175914,175914,175914,175914,175914,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,266192,266192,266192,266192,266192,266192,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,205059,167355,205059,205059,167355,167355,167355,167355,167355,167355,167355,167355,167355,167355,167355,167355,167355,31260,167355,175914,175914,175914,175914,180263,180263,237182,237182,175914,175914,102794,102794,102794,175914,102794,175914,102794,102794,102794,102794,102794,175914,102794,102794,102794,102794,175914,175914,175914
31,25613,162886,177736,177736,164153,164153,164153,177736,164153,164153,164153,164153,164153,224517,209010,209010,209010,209010,209010,209010,209010,209010,209010,209010,209010,209010,209010,209010,209010,209010,209010,209010,209010,221107,221107,221107,221107,221107,221107,221107,221107,221107,221107,221107,221107,221107,221107,221107,221107,221107,221107,221107,221107,221107,221107,221107,266192,266192,266192,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,170216,167355,167355,167355,167355,205059,167355,167355,205059,205059,205059,205059,205059,205059,205059,237182,237182,237182,237182,237182,237182,237182,31260,237182,237182,237182,237182,237182,237182,180263,180263,180263,180263,180263,31260,31260,31260,31260,31260,31260,31260,31260,31260,31260,199792,199792,199792,199792,199792,102794,102794,102794
