BoardGameRank,2018-10-06,2018-10-13,2018-10-20,2018-10-27,2018-11-03,2018-11-09,2018-11-17,2018-11-24,2018-12-01,2018-12-08,2018-12-15,2018-12-22,2018-12-29,2019-01-05,2019-01-12,2019-01-19,2019-01-26,2019-02-02,2019-02-09,2019-02-16,2019-02-23,2019-03-02,2019-03-09,2019-03-16,2019-03-23,2019-03-30,2019-04-06,2019-04-13,2019-04-20,2019-04-27,2019-05-04,2019-05-11,2019-05-18,2019-05-25,2019-06-01,2019-06-08,2019-06-15,2019-06-22,2019-06-29,2019-07-06,2019-07-13,2019-07-20,2019-07-27,2019-08-03,2019-08-10,2019-08-17,2019-08-24,2019-08-31,2019-09-07,2019-09-14,2019-09-21,2019-09-28,2019-10-05,2019-10-12,2019-10-19,2019-10-26,2019-11-02,2019-11-09,2019-11-16,2019-11-23,2019-11-30,2019-12-07,2019-12-14,2019-12-21,2019-12-28,2020-01-04,2020-01-11,2020-01-18,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22
2418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66085,218050,68247,173341,20609,269725,12346,25071,10819,189848,8829,156373,161546,2582,437,437,160559,444,9,200,174614,174614,148532,107190,103132,68228,25794,97357,131118,129122,174155,179071,283864,422,122889,2795,127493,177965,208775,84838,127493,218129,177965,140125,130792,2238,56885,97915,256999,44,3605,225729,218129,35614,234931,228959,178944,246201,133956,190400,150926,24509,69601,827,5205,251551,1265,124380,108722,18985,228133,94389,19301,228133,140951,226519,299,181761,118610,68076,118610,36888,68076,24762,24762,232524,249411,759,27048,124668
2419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159469,204837,192547,68247,1430,73664,4090,25234,228668,214,184522,189848,38032,74390,115293,38032,231999,192947,200,192947,154173,25674,1561,84469,2795,25794,159469,120605,193670,246761,102148,79131,34320,30,30,208775,108044,3348,37165,173047,37165,79073,253398,84838,270138,269752,130792,280136,234931,138788,225729,234931,96713,190400,253398,234931,140519,178944,240271,155708,141791,11949,33107,41569,41569,117942,1037,68076,193210,108722,18460,188314,287938,14808,264239,299,181761,118610,299,246297,68076,84465,8490,230342,2639,3967,68076,232524,125977,100679
2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128664,66085,200456,159469,9408,128664,8829,252877,13883,147116,626,118497,189848,257614,22278,251053,329,6366,20806,9,2795,2795,107190,154173,30,148532,30,193670,120605,102148,131118,422,39813,257066,102148,30,3348,179071,246201,37165,78954,177965,56885,269199,253398,253398,19854,19854,84772,177965,44,17484,253398,253398,38872,142854,149853,127095,190400,218129,190400,141791,19996,69601,184346,39242,169,1265,22551,297985,63091,228133,30539,176565,17449,246297,4174,228133,181761,2639,246297,692,298371,68076,58602,3421,228133,276925,2639,232524
2421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161547,128063,173294,42743,338,179245,128664,4090,8829,159469,29109,270971,23985,148532,2582,115293,142830,258074,1017,277085,20806,170199,84469,20806,143096,2795,143096,159469,102148,193670,10788,190639,105624,105624,1597,240567,20022,270138,212346,219101,464,163640,260300,225729,269752,270138,114387,114387,283294,172546,234931,208775,208775,162559,190400,290359,257,149853,127095,133956,420,231327,19948,134520,182351,184346,215371,1037,18500,433,4583,147,188314,30539,277699,126008,118610,96792,2639,299,208775,246297,264239,8490,274093,24762,3421,2639,759,2639
2422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3553,255615,178613,173294,128664,338,173341,12346,25234,95234,214,2981,1444,156180,34127,148532,156266,139562,137397,68858,137397,117914,20806,264647,41490,103132,193670,25794,97357,131118,139245,127493,65673,207729,208775,175695,2795,127493,269752,56707,246201,78954,14083,177965,14083,246201,2238,127493,172546,204135,277597,3409,172546,32165,257,253398,190400,223779,149853,134520,155708,150926,155708,19996,827,278553,117942,215371,23604,208775,43307,220588,94389,40831,226519,2516,692,4174,96792,245353,279869,15369,6050,141090,230342,2639,2639,31291,232524,274093
2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271518,160418,254713,184346,8829,262211,1645,218421,95234,130899,24070,23985,124847,28025,156266,142830,437,19679,160968,152899,152899,84469,178134,41490,148532,4616,97357,256874,245487,65673,127493,65673,268201,252556,20022,108044,179071,212346,76674,127493,253398,246201,219101,130792,127493,114387,127493,12681,6613,208775,253398,204135,32165,234931,181260,181260,223779,253499,232524,248861,159469,210900,269603,184346,148261,169,56786,23604,68076,184346,147,30539,14808,19301,16,208775,184346,299,192638,118610,58602,118610,301716,2639,241477,294514,232524,246297,788,27048
2424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149787,256952,21892,31133,178613,20609,20609,128664,159469,1645,189848,29109,2981,38032,156180,28025,122891,10081,1561,160968,9,192947,174614,25674,1561,30,33003,4616,25794,154173,5942,174155,179071,177079,34320,122889,30,108044,177965,246201,219101,253398,218129,177197,265683,14083,177965,130792,56885,234931,172546,192834,35285,96713,127493,38872,127095,140519,223779,127095,298047,134520,210900,18485,266967,3267,815,302388,135243,56786,208775,40831,220588,226519,177939,16,96792,2516,3139,279869,2639,68076,118610,118610,8490,58602,175360,68076,259061,3421
2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135654,42743,1430,21892,1917,173341,160418,159469,246297,10819,130899,184522,118497,131891,28025,280789,184346,329,139562,1017,200,156266,156266,1561,84469,41490,1561,143096,35342,120605,120605,102148,177079,65673,39813,102148,24920,20022,3348,143096,260300,37165,246201,127493,246201,140125,14083,190400,2238,231999,114387,3605,253499,152237,32165,293014,253499,132428,181260,223779,127095,420,24509,19948,11949,8124,3267,253398,124380,1770,220588,4583,245353,220588,30539,184346,126008,71655,40770,181761,692,58602,246297,84465,6050,274093,24762,228133,31291,68076
2426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142325,171835,160418,1430,159469,1430,1430,20609,30356,30356,228668,626,8829,4370,38032,34127,165662,272427,19679,156266,156266,149119,256874,117914,20806,159469,84469,68228,2795,97357,167698,4616,127493,196354,15033,24920,122889,102148,179071,3655,177079,464,78954,270138,84838,177965,266965,177965,12681,84772,138788,44,37231,208775,162559,257,208775,127493,257,206490,231327,223779,134520,11949,134520,41569,7806,117942,1265,635,108722,63091,4583,94389,228133,264239,16,180901,279869,96792,192638,208775,58602,20545,249411,118610,274093,169704,274093,31291
2429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171835,3553,128063,128063,42743,9408,9408,173341,218129,13883,95234,214,207062,159469,131891,156266,148532,40444,155173,139562,68858,154173,154173,178134,149119,20806,149119,84469,68228,25794,2795,139245,174155,102148,422,222219,270138,34320,108044,3348,144734,177079,79073,143096,177197,84838,3234,37301,19854,2238,84772,138788,3605,127493,253499,190400,181260,181260,132428,127493,178944,83040,141791,24509,301880,177249,210900,815,169,1758,1770,277699,208775,208775,19301,17449,140951,147537,249763,692,181761,2639,8924,274093,141090,20545,20545,262114,169704,259061
2427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204837,128664,66085,160418,200456,159469,85,8829,128664,25234,147116,130899,626,175360,74390,131891,38032,155173,5795,137397,192947,8829,68858,192947,107190,143096,103132,2795,30,68228,266164,10788,191925,79131,56707,257066,34320,93538,93538,76674,56707,173047,163640,177079,3234,234931,140125,177079,97915,21641,6613,114387,2238,253499,228959,35614,283317,257,208775,231327,134520,127095,11949,266967,69601,300877,8124,148261,253398,22398,18985,172155,135649,135649,262540,20545,2516,692,692,4174,299,192638,36888,58602,118610,230342,58602,175360,3421,125977
2428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42743,149787,42743,128664,213492,1917,29773,205907,25071,228668,159469,10819,29109,6366,4370,247104,115293,231999,329,129320,1561,68858,8829,149119,174614,84469,192947,1561,143096,30,143096,131118,102148,179071,143096,179071,212346,2795,222219,93538,76674,219101,37165,253398,177965,3234,253398,2238,114387,97915,97915,97915,192834,172546,208775,208775,127493,208775,140519,228668,223779,190400,168433,150926,33107,137776,184346,41569,1037,22551,433,245353,228133,245353,184346,228133,180901,140951,16,3139,96792,283934,202288,246297,84465,8490,230200,312251,270138,169704
2423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33643,161547,31133,178613,173341,85,179245,255675,1645,246297,10819,8829,156373,165662,148532,22278,380,5795,192947,1561,231999,148532,170199,174614,154173,228668,68228,35342,4616,4616,252556,252556,79131,39813,24920,34320,246201,288169,2795,144734,173047,235555,235555,3234,140125,37301,37301,234931,21641,6613,177965,172546,127493,220367,35614,127493,132428,190400,178944,178944,218129,168433,150926,33107,18485,7806,41569,169,56786,284108,245353,135649,68076,63091,176565,96792,71655,16,4174,192638,270239,245353,141090,6050,232524,249411,3967,3421,68076,759
2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30662,135654,128664,66085,29773,178613,255675,267127,213492,128664,213492,30356,184522,124847,6366,2582,159469,437,246201,155173,160968,231999,149119,8829,272682,107190,25674,30,148532,2795,192947,120605,196354,5942,240567,56707,56707,24920,30,283393,143096,143096,173047,246201,177079,36367,84838,140125,173047,12681,127493,84772,17484,35285,31722,162559,142854,206490,206490,181260,127493,133956,420,210900,150926,33107,33107,287084,215371,99875,22398,208775,172155,188314,180901,6866,20545,126008,20545,271060,16,299,84465,36888,246297,84465,246297,58602,232824,193867
