game_id,name,boardgamedesigner,boardgameartist,yearpublished,minplayers,maxplayers,minage,playingtime,minplaytime,maxplaytime,boardgamepublisher,boardgamecategory,boardgamefamily,boardgamemechanic,AbstractGameRank_min,AbstractGameRank_min_date,AbstractGameRank_max,AbstractGameRank_max_date,first_date_in_ref,BoardGameRank_min,BoardGameRank_min_date,BoardGameRank_max,BoardGameRank_max_date,ChildrensGameRank_min,ChildrensGameRank_min_date,ChildrensGameRank_max,ChildrensGameRank_max_date,CustomizableRank_min,CustomizableRank_min_date,CustomizableRank_max,CustomizableRank_max_date,FamilyGameRank_min,FamilyGameRank_min_date,FamilyGameRank_max,FamilyGameRank_max_date,PartyGameRank_min,PartyGameRank_min_date,PartyGameRank_max,PartyGameRank_max_date,StrategyGameRank_min,StrategyGameRank_min_date,StrategyGameRank_max,StrategyGameRank_max_date,ThematicRank_min,ThematicRank_min_date,ThematicRank_max,ThematicRank_max_date,WarGameRank_min,WarGameRank_min_date,WarGameRank_max,WarGameRank_max_date,bgg_url
244330,Scarabya,"['Bruno Cathala', 'Ludovic Maublanc']",['Sylvain Aublin'],2018,1,4,8,20,15,20,"['Blue Orange (EU)', 'Blue Orange Games', '2 Pionki', 'Arclight', 'Korea Boardgames Co., Ltd.', 'One Moment Games', 'Portal Games']",['Puzzle'],"['Components: Polyominoes', 'Players: Games with Solitaire Rules']","['Enclosure', 'Solo / Solitaire Game', 'Tile Placement']",,,,,2019-09-07,2770,2020-09-26,2919,2019-09-07,,,,,,,,,782,2021-05-22,782,2021-05-22,,,,,,,,,,,,,,,,,https://boardgamegeek.com/boardgame/244330
19679,Hordes,"['Mike McVey', 'Brian Snoddy', 'Jason Soles', 'Rob Stoddard', 'Matt Wilson (I)']",[],2006,2,8,12,60,60,60,"['Edge Entertainment', 'Privateer Press']","['Book', 'Fantasy', 'Miniatures']",['Game: Iron Kingdoms'],['Variable Player Powers'],,,,,2019-09-07,2281,2019-09-07,2873,2021-05-22,,,,,,,,,,,,,,,,,,,,,447,2020-12-19,477,2021-05-22,338,2019-10-05,381,2020-09-05,https://boardgamegeek.com/boardgame/19679
85769,Panzer: The Game of Small Unit Actions and Combined Arms Operations on the Eastern Front 1943-45,['James M. Day'],"['Pascal da Silva', 'James M. Day', 'Charles Kibler', 'Rodger B. MacGowan', 'Mark Simonitch']",2012,2,4,0,300,120,300,['GMT Games'],"['Wargame', 'World War II']",['Series: Panzer game system (Yaquinto/GMT)'],"['Hexagon Grid', 'Line of Sight']",,,,,2020-04-18,2639,2020-05-16,2865,2021-05-22,,,,,,,,,,,,,,,,,,,,,,,,,164,2020-05-09,197,2021-02-06,https://boardgamegeek.com/boardgame/85769
234248,Voodoo Prince,['Reiner Knizia'],['Stephanie Böhm'],2017,2,5,8,20,20,20,"[""OPEN'N PLAY"", 'Popcorn Games', 'Schmidt Spiele']",['Card Game'],['Series: Royal horror card games (Schmidt Spiele)'],['Trick-taking'],,,,,2019-09-07,2810,2020-09-19,3039,2019-10-19,,,,,,,,,737,2020-09-12,761,2021-02-13,,,,,,,,,,,,,,,,,https://boardgamegeek.com/boardgame/234248
271530,Ankh'or,"['Frank Crittin', 'Grégoire Largey', 'Sébastien Pauchon']",['Gaël Lannurien'],2019,2,4,8,30,30,30,"['Space Cowboys', 'Gém Klub Kft.', 'Hobby Japan', 'Korea Boardgames Co., Ltd.']","['Animals', 'Mythology']","['Country: Egypt', 'Series: Two-player games (Space Cowboys)']","['Card Drafting', 'Pattern Building', 'Set Collection', 'Tile Placement']",,,,,2020-02-15,2854,2021-04-24,4841,2020-02-15,,,,,,,,,770,2021-04-24,842,2020-11-21,,,,,,,,,,,,,,,,,https://boardgamegeek.com/boardgame/271530
257058,Valparaíso,"['Stefan Malz', 'Louis Malz']",['Michael Menzel'],2018,2,5,12,90,45,90,"['dlp games', 'Angry Lion Games', 'Arrakis Games', 'Cranio Creations', 'Stronghold Games']",[],['Country: Chile'],"['Action Queue', 'Kill Steal', 'Point to Point Movement', 'Simultaneous Action Selection']",,,,,2019-09-07,2811,2020-11-14,3221,2019-09-07,,,,,,,,,,,,,,,,,1165,2020-08-08,1218,2021-02-27,,,,,,,,,https://boardgamegeek.com/boardgame/257058
23985,Midgard,['Eric M. Lang'],"['John Gravato', 'George Wu']",2007,3,5,12,60,60,60,"['Z-Man Games, Inc.']","['Medieval', 'Mythology']","['Admin: Better Description Needed!', 'Theme: Vikings']","['Area Majority / Influence', 'Card Drafting', 'Hand Management', 'Memory', 'Set Collection']",,,,,2019-09-07,2360,2019-09-07,2869,2021-05-22,,,,,,,,,,,,,,,,,1067,2019-09-07,1250,2021-05-15,,,,,,,,,https://boardgamegeek.com/boardgame/23985
252854,Sabotage,"['Tim Fowers', 'Jeff Krause']",['Ryan Goldsberry'],2019,2,4,10,90,60,90,['Fowers Games'],"['Bluffing', 'Deduction', 'Dice', 'Spies/Secret Agents']","['Components: Game Box Used In Play', 'Components: Game Trayz Inside', 'Crowdfunding: Kickstarter']","['Action Queue', 'Dice Rolling', 'Grid Movement', 'Hidden Movement', 'Secret Unit Deployment', 'Simultaneous Action Selection', 'Team-Based Game', 'Variable Player Powers']",,,,,2019-11-02,2847,2021-01-16,4826,2019-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://boardgamegeek.com/boardgame/252854
30356,Heartland,['Jeffrey D. Allers'],['Tom Thiel'],2009,2,5,8,60,45,60,['Pegasus Spiele'],"['Animals', 'Farming', 'Territory Building']","['Animals: Cattle / Cows', 'Animals: Chickens', 'Animals: Pigs']","['Enclosure', 'Hand Management', 'Pattern Building', 'Tile Placement']",,,,,2019-09-07,2379,2019-09-07,2871,2021-05-22,,,,,,,,,604,2019-09-07,763,2021-05-22,,,,,1036,2019-09-07,1215,2021-05-01,,,,,,,,,https://boardgamegeek.com/boardgame/30356
245197,Deadwood 1876,['Travis Hancock'],"['Holly Hancock', 'Sarah Keele']",2018,2,9,13,40,20,40,['Facade Games'],"['American West', 'Bluffing', 'Deduction', 'Dice', 'Party Game']","['Crowdfunding: Kickstarter', 'Series: Dark Cities (Facade Games)']","['Card Drafting', 'Dice Rolling', 'Hand Management', 'Team-Based Game']",,,,,2019-09-07,2709,2020-01-04,2872,2021-05-22,,,,,,,,,,,,,184,2019-11-16,203,2020-10-31,,,,,516,2019-10-12,545,2021-05-22,,,,,https://boardgamegeek.com/boardgame/245197
